"변환","USA","China","Japan"
20230605,1308.8,184.32,934.02
20230607,1308.3,183.99,937.28
20230608,1300.5,182.46,928.63
20230609,1306.1,182.72,940.69
20230612,1294.9,181.78,928.81
20230613,1291.1,180.59,925.75
20230614,1277.5,178.19,911.49
20230615,1275.9,177.98,911
20230616,1280.1,178.67,913.48
20230619,1273.5,178.66,897.49
20230620,1280.7,179.46,902.31
20230621,1282.2,178.29,907.46
20230622,1291.5,179.54,911.5
20230623,1291.4,179.71,902.67
20230626,1302.2,180.57,907.01
20230627,1303.8,180.66,909.11
20230628,1303.1,180.45,905.34
20230629,1304.3,180.28,903.35
20230630,1312.8,181.05,906.97
20230703,1319.4,181.77,913.87
20230704,1310,180.88,905.57
20230705,1301.7,179.53,900.92
20230706,1300.8,179.87,900.05
20230707,1303.8,179.44,905.51
20230710,1307.3,180.29,919.11
20230711,1303.8,180.16,922.82
20230712,1295,179.26,923.25
20230713,1291.4,179.43,932.92
20230714,1276.2,177.82,925.22
20230717,1265.8,177.15,911.99
20230718,1266.1,176.69,912.87
20230719,1261.6,175.66,908.31
20230720,1265.4,175.55,906.03
20230721,1265.8,175.97,904.37
20230724,1281.7,178.55,904.61
20230725,1283.8,178.3,907.12
20230726,1280.7,178.87,908.78
20230727,1278.7,178.64,910.59
20230728,1273.4,178.33,914.4
20230731,1280,178.49,908.28
20230801,1273.8,178.29,895.18
20230802,1280.7,178.63,896
20230803,1293,179.95,902.78
20230804,1298.8,180.47,911.02
20230807,1303.9,181.53,919.05
20230808,1304.1,181.16,915.58
20230809,1312.6,181.9,916.08
20230810,1318.3,182.64,917.49
20230811,1317.3,182.32,909.77
20230814,1321.1,182.59,911.7
20230816,1331.3,183.28,914.26
20230817,1338.3,182.83,914.8
20230818,1341.6,182.8,920.76
20230821,1336.9,183.27,919.75
20230822,1341.5,183.13,917.48
20230823,1338.7,183.37,918.05
20230824,1338,183.29,924.38
20230825,1324,181.54,906.88
20230828,1326.6,182.1,905
20230829,1322.5,181.65,903.13
20230830,1322,181.34,906.69
20230831,1321.4,181.09,905.07
20230901,1322.3,181.35,908.64
20230904,1319.2,181.77,902.94
20230905,1319.3,181.37,900.45
20230906,1324.3,181.65,897.86
20230907,1332.6,182.04,902.63
20230908,1334.7,182.02,906.2
20230911,1333.4,181.35,905.75
20230912,1332.4,181.82,909.08
20230913,1326.1,181.46,901.59
20230914,1327.8,181.9,901.18
20230915,1326.1,182.26,899.08
20230918,1327.6,182.58,897.91
20230919,1326,182.06,898.34
