"Time","USA","China","Japen"
20230605,"1,308.80 ",184.32,934.02
20230607,"1,308.30 ",183.99,937.28
20230608,"1,300.50 ",182.46,928.63
20230609,"1,306.10 ",182.72,940.69
20230612,"1,294.90 ",181.78,928.81
20230613,"1,291.10 ",180.59,925.75
20230614,"1,277.50 ",178.19,911.49
20230615,"1,275.90 ",177.98,911
20230616,"1,280.10 ",178.67,913.48
20230619,"1,273.50 ",178.66,897.49
20230620,"1,280.70 ",179.46,902.31
20230621,"1,282.20 ",178.29,907.46
20230622,"1,291.50 ",179.54,911.5
20230623,"1,291.40 ",179.71,902.67
20230626,"1,302.20 ",180.57,907.01
20230627,"1,303.80 ",180.66,909.11
20230628,"1,303.10 ",180.45,905.34
20230629,"1,304.30 ",180.28,903.35
20230630,"1,312.80 ",181.05,906.97
20230703,"1,319.40 ",181.77,913.87
20230704,"1,310.00 ",180.88,905.57
20230705,"1,301.70 ",179.53,900.92
20230706,"1,300.80 ",179.87,900.05
20230707,"1,303.80 ",179.44,905.51
20230710,"1,307.30 ",180.29,919.11
20230711,"1,303.80 ",180.16,922.82
20230712,"1,295.00 ",179.26,923.25
20230713,"1,291.40 ",179.43,932.92
20230714,"1,276.20 ",177.82,925.22
20230717,"1,265.80 ",177.15,911.99
20230718,"1,266.10 ",176.69,912.87
20230719,"1,261.60 ",175.66,908.31
20230720,"1,265.40 ",175.55,906.03
20230721,"1,265.80 ",175.97,904.37
20230724,"1,281.70 ",178.55,904.61
20230725,"1,283.80 ",178.3,907.12
20230726,"1,280.70 ",178.87,908.78
20230727,"1,278.70 ",178.64,910.59
20230728,"1,273.40 ",178.33,914.4
20230731,"1,280.00 ",178.49,908.28
20230801,"1,273.80 ",178.29,895.18
20230802,"1,280.70 ",178.63,896
20230803,"1,293.00 ",179.95,902.78
20230804,"1,298.80 ",180.47,911.02
20230807,"1,303.90 ",181.53,919.05
20230808,"1,304.10 ",181.16,915.58
20230809,"1,312.60 ",181.9,916.08
20230810,"1,318.30 ",182.64,917.49
20230811,"1,317.30 ",182.32,909.77
20230814,"1,321.10 ",182.59,911.7
20230816,"1,331.30 ",183.28,914.26
20230817,"1,338.30 ",182.83,914.8
20230818,"1,341.60 ",182.8,920.76
20230821,"1,336.90 ",183.27,919.75
20230822,"1,341.50 ",183.13,917.48
20230823,"1,338.70 ",183.37,918.05
20230824,"1,338.00 ",183.29,924.38
20230825,"1,324.00 ",181.54,906.88
20230828,"1,326.60 ",182.1,905
20230829,"1,322.50 ",181.65,903.13
20230830,"1,322.00 ",181.34,906.69
20230831,"1,321.40 ",181.09,905.07
20230901,"1,322.30 ",181.35,908.64
20230904,"1,319.20 ",181.77,902.94
20230905,"1,319.30 ",181.37,900.45
20230906,"1,324.30 ",181.65,897.86
20230907,"1,332.60 ",182.04,902.63
20230908,"1,334.70 ",182.02,906.2
20230911,"1,333.40 ",181.35,905.75
20230912,"1,332.40 ",181.82,909.08
20230913,"1,326.10 ",181.46,901.59
20230914,"1,327.80 ",181.9,901.18
20230915,"1,326.10 ",182.26,899.08
20230918,"1,327.60 ",182.58,897.91
20230919,"1,326.00 ",182.06,898.34
